TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
109.354666667,0.304382,2.45869,0.210175,0.346758,0.232562,0.559239,1.11746,0.772437,1.77858,0.0450924,0.000828154,0.419544
109.397333333,0,2.30518,0.913325,0.325408,0.133893,0.543552,1.03398,0.727556,1.73357,0.0643868,0.000807293,0.18309
109.440000000,0,1.38472,2.00533,0.47531,0.0471811,0.0630159,0.86719,0.463385,1.91577,0.0954588,0.000574148,0.000146812
109.482666667,0,0.348405,2.44232,0.690587,0,0,0.625514,0.111943,2.42643,0.130035,0.0213664,6.32162e-05
109.525333333,0.0286939,0.0289067,2.15171,0.805031,0.393074,0.000216972,0.281485,0.291118,2.19079,0.497752,0.0437037,0
109.568000000,0,0,1.5342,0.816089,0.453217,0.0157679,0.176646,0.454769,2.15295,0.617517,0.0978979,0
109.610666667,0.0187997,0,1.20369,1.4327,0.126932,0.0257961,0.258766,0.188839,2.06386,0.499167,0.291249,0.0620233
109.653333333,0,0,1.2312,1.54238,0.130312,0,0.831164,0.105091,2.01133,0.336048,0.314949,2.0071e-05
109.696000000,0,0.497046,1.43604,1.27722,0,0.0237885,0.812308,0.0409599,2.29506,0.331882,0.234104,0.0348824
109.738666667,0.0745263,2.51565,1.33,0.917717,0.00527182,0.037086,0.179248,0,1.9356,0.437828,0.118918,0.0777281
109.781333333,0.0984102,3.69592,0.526709,0.109608,0,0.392134,0,0.0133734,1.57715,0.662441,0,0.0882693
109.824000000,0.0810598,3.89794,0.206043,0.0402447,0,0.787539,0,0,1.21424,0.599719,0.0514745,0.144764
109.866666667,0.0639373,3.85753,0.162037,0,0,0.808928,0,0,1.53806,0.374587,0.0604079,0.153855
109.909333333,0.0626372,4.00156,0.151336,0,0,0.69237,0.033557,0,1.70172,0.115613,0.0589016,0.159945
109.952000000,0.0782663,4.21186,0.179039,0.00194276,0,1.04659,0,0,1.55303,0.0578575,0.136741,0.404638
109.994666667,0.198595,3.84463,0.326364,0.05408,0,0.814906,0,0,1.68774,0.0291281,0.582697,0.942352
110.037333333,0.207005,3.03112,0.304935,0.0275381,0,0.906263,0.0789002,0,1.55045,0.026178,0.596189,1.50461
110.080000000,0.141917,2.43565,0.114941,0.0985476,0,1.22167,0.106351,0,1.03242,0.0154189,0.320732,2.3018
110.122666667,0.115555,1.95293,0.0416794,0.170512,0,1.29639,0.514884,0,0.652485,0,0.137544,2.74995
110.165333333,0.389356,1.7825,0.213914,0.0679067,0,0.941442,0.71974,0.520204,0.381975,0,0,2.94264
110.208000000,0.820356,1.99401,0.27564,0.0822147,0.0529159,0.530967,0.304166,0.442756,0.582611,0.0400423,0.000249795,2.47399
110.250666667,0.95121,2.16868,0.162311,0.0169147,0.114908,0.604855,0.433473,0.164665,0.895094,0.198682,0.000492783,1.53255
110.293333333,0.408171,2.34074,0.190337,0,0.159583,0.979682,0.661733,0.0453714,1.0915,0.295742,0.027383,0.837506
110.336000000,0.164303,2.30765,0.316876,0,0.128475,1.00741,0.80842,0.0388457,1.35531,0.29891,0.0822905,0.16445
110.378666667,0.16145,2.13979,0.39782,0,0.0570427,1.03807,0.730404,0.105906,1.30471,0.237637,0.0446208,0.000220983
110.421333333,0.204335,2.03578,0.494774,0,0,0.82247,0.539827,0.142624,1.01355,0.253504,0.193013,0.000259893
110.464000000,0.254077,2.17289,0.896875,0,0,0.504723,0.180652,0.168248,1.26062,0.203949,0.1176,0.0656353
110.506666667,0.238246,2.44808,1.11522,0,0,0.377642,0.0225159,0.375577,1.45202,0.28337,0.152544,0.240692
110.549333333,0.196859,2.40276,1.18238,0.0286031,0,0.339274,0.0406525,0.835102,1.49725,0.118101,0.112266,0.409318
110.592000000,0.214128,2.39297,0.964209,0,0,0.263531,0.476419,0.960475,1.39242,0.0228882,0.0622102,0.171621
110.634666667,0.330313,2.91406,0.716457,0.0262075,0.221985,0.469548,0.647211,0.680338,1.13919,0.0571706,0.041744,0.107342
110.677333333,0.0484489,3.26108,0.272997,0.0898376,0.0587947,0.543993,0.552007,0.662375,1.05096,0.0690284,0.149007,0.140472
110.720000000,0.0444748,3.37521,0.0425215,0.0512175,0.318205,0.359508,1.00007,0.256275,0.691698,0.0812757,0.589584,0.094826
110.762666667,0,3.39376,0,0.0290848,0.440221,0.211817,1.40424,0.322919,0.146758,0.0875532,0.938735,0.107351
110.805333333,0,3.29489,0.0350139,0.015408,0.46607,0.0628011,1.74535,0.278477,0.0372339,0.0333984,1.41057,0.11799
110.848000000,0,3.07308,0.0611458,0,0.243662,0.0719575,2.22629,0.174272,0.0340614,0.0510339,1.49384,0.185934
110.890666667,0,2.63428,0.0328013,0,0.0195984,0.110633,2.93026,0.148972,0.0481919,0.0920501,1.61513,0.50644
110.933333333,0,1.84459,0.189684,0,0.287484,0.204518,2.92098,0.102507,0.0630936,0.118868,1.5488,1.05679
110.976000000,0,1.2595,0.264686,0,0.459325,0.238485,2.70016,0.137836,0.0218965,0.0968539,0.951456,1.68876
111.018666667,0.0230768,0.969454,0.177657,0,0.389262,0.144968,2.50958,0.134428,0.000807625,0.0261272,0.703102,2.16814
111.061333333,0.016026,0.934383,0.00557576,0,0.128616,0.340687,2.34904,0.113027,0,0.0291815,0.508049,2.56705
111.104000000,0,0.551732,0.00255056,0.270761,0.0191258,0.583022,2.22575,0.124851,0.00150407,0.224255,0.188894,2.58661
111.146666667,0,0.706221,0.160289,0.604052,0.130893,0.81182,1.96272,0.683996,0.096758,0.168698,0.284073,2.4666
111.189333333,0,0.608685,0.319062,0.572372,0.255447,0.738035,1.84626,0.623858,0.0906809,0.0937316,0.226853,2.66069
111.232000000,0.215324,0.578594,0.299331,0.439716,0.346082,0.729694,1.56289,0.198996,0.0161736,0.186949,0.197872,2.8219
111.274666667,0.159418,0.649307,0.259175,0.0343698,0.418182,0.878859,1.55682,0.0688679,0.0265199,0.138544,0.215674,2.89262
111.317333333,0.0636584,0.78504,0.148243,0,0.112321,1.03498,1.7612,0.113987,0.202581,0.00923521,0.262578,2.74661
111.360000000,0,0.99829,0.477634,0,0.0240956,0.768756,1.98321,0.475751,0.0921905,0,0.371537,2.20621
111.402666667,0,1.33716,0.802099,0,0.0350669,0.213984,2.12817,0.77277,0.0702029,0,0.742311,1.39977
111.445333333,0.125071,1.87955,0.6186,0.00218506,0.0870009,0.180952,2.76862,0.280359,0.0578977,0.0330534,1.37598,0.288443
111.488000000,0.214585,1.91982,0.185608,0.0125894,0.0584869,0.0957958,3.34995,0.0855688,0,0.100758,1.81263,0.335387
111.530666667,0.211631,2.0158,0.0381269,0.0135627,0.0906426,0.0818836,3.81939,0.0696735,0,0.0860655,1.96715,0.165317
111.573333333,0.172623,1.8127,0.137809,0.047652,0.00931694,0.052738,3.90049,0.338173,0,5.21781e-05,2.08171,0.000230917
111.616000000,0.245805,0.656492,0.248246,1.63237,0.188947,0.0414714,2.80599,0.011882,1.51528,0.201998,0.698021,0.650263
111.658666667,0.033002,0.336385,0.220476,2.06821,0.16142,0.0124081,0.473209,0.0306394,2.6124,0.298211,0.0460893,1.60432
111.701333333,0,0.321947,0.165892,2.06391,0.113358,0,0.0439078,0.0623067,3.10022,0.0603257,1.56918e-05,1.91695
111.744000000,0,0.248003,0.20032,1.89086,0.0289081,0,0.223855,0.053004,3.30631,0.0529166,0,2.0289
111.786666667,0,0.0895848,0.137123,1.55144,0.00106845,0,0.306073,0.0555294,3.29884,0.107098,0.0121329,2.37632
111.829333333,0,0.000909104,0.0802699,1.62945,0,0.00126445,0.223677,0.0761451,3.38552,0.156312,0.0262124,2.65237
111.872000000,0.00179572,0.00900899,0.160535,1.9502,0.00764562,0.00847093,0.213869,0.0927258,3.60542,0.147987,0.0217918,2.75964
111.914666667,0.0737953,0.0495943,0.232262,1.90249,0.0807167,0.0101969,0.18738,0.0798566,3.66491,0.138313,0.0116107,2.58427
111.957333333,0.359361,0.035236,0.304974,1.88814,0.101438,0.00932224,0.293191,0.043383,3.64847,0.0809043,0.146729,2.01497
112.000000000,1.05076,0.0262816,0.336443,2.10843,0.113564,0.0115978,0.569838,0.052207,3.44857,0.0785397,0.196841,0.640551
112.042666667,0.500177,0.0768713,0.351557,2.02655,0.119264,0.590022,0.289414,0.246142,2.4547,0.284716,0.0498153,0.599007
112.085333333,0.240844,0.0331158,0.272767,2.12815,0.136077,0.600905,0.408423,0.435812,2.04902,0.0949649,0,0.810872
112.128000000,0.31742,0.0172572,0.275665,1.53513,0.132441,0.307362,0.737031,0.302806,2.50518,0.0818917,0,1.31944
112.170666667,0.568809,0.0165199,0.319984,1.50484,0.110913,0.104337,0.790208,0.0231454,2.73717,0.0889035,0,1.83422
112.213333333,0.716259,0.0242874,0.223397,1.56262,0.0414446,0.0905122,0.737454,0.0580862,2.83188,0.115989,9.58269e-05,2.14618
112.256000000,0.789165,0.0314812,0.0626336,1.74674,0.0351605,0,0.579192,0.157633,2.99433,0.141387,0.00205356,2.43977
112.298666667,0.603292,0.071855,0,2.11354,0.0237557,0.00453045,0.237619,0.650601,3.02884,0.145818,0.0142655,2.59718
112.341333333,0.17378,0.117207,0.0008498,2.26066,0.00523101,0.00955605,0.0479624,0.656308,3.39986,0.138317,0.0305821,2.38536
112.384000000,0.650437,0.165787,0.107731,2.06008,0.00166211,0.0404574,0.0813634,0.348978,3.61672,0.102305,0.00904178,1.61437
112.426666667,1.35336,0.138183,0.286581,2.01819,0,0.102818,0.378549,0.0429957,3.5611,0.0517105,0.000160701,0.871696
112.469333333,1.50173,0.164398,0.261308,2.18174,0.0165788,0.00763969,0.339271,0.0774562,3.38404,0.0458684,0.053246,0.552987
112.512000000,0.760639,0.0735481,0.150291,2.35073,0.0126631,0.0116313,0.00643521,0.0694479,3.59524,0.129995,0,0.863882
112.554666667,0.12266,0.0352864,0.15758,2.15152,0.0303046,0.00879819,0.0226636,0.161924,3.42172,0.154117,0,1.57452
112.597333333,0.141082,0.00162905,0.164608,2.35153,0.0172392,0.00055453,0.0839744,0.0953197,3.01564,0.106705,0.002726,1.93144
112.640000000,0.0557179,0.0536752,0.149234,2.32427,0.0160404,0,0.0900942,0,2.68615,0.094164,0.00813839,2.66021
112.682666667,0.00665927,0,0.137722,2.20682,0.0292975,0,0.171897,0.000856804,2.60054,0.0981738,0.0141611,3.14764
112.725333333,0.0299441,0.0323102,0.0671085,2.20353,0,0,0.253559,0.0351235,2.41148,0.11826,0.0212908,3.24799
